n1,n2,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
5,5,0.39999999999999997,17.7,9.8,9.9,9.8,0
10,10,0.19999999999999998,86.2,34.6,34.4,33.8,0
20,20,0.09999999999999999,358.3,199.7,199.5,198.8,0
30,30,0.06666666666666667,880.2,420.0,419.7,418.5,0
40,40,0.049999999999999996,1583.9,779.3,782.2,777.4,0
50,50,0.039999999999999994,2449.8,1161.9,1165.6,1158.9,0
60,60,0.03333333333333333,3323.9,1785.5,1788.3,1785.8,0
70,70,0.028571428571428574,4623.9,2419.3,2421.2,2416.8,0
80,80,0.024999999999999998,6328.3,3200.6,3202.5,3200.6,0
90,90,0.022222222222222223,8007.3,3887.8,3889.1,3887.9,0
100,100,0.019999999999999997,9539.3,4742.6,4743.2,4743.0,0
