sample_id,bary_sift_cutoff_0,sift_bary_cutoff_0,permu_sift_cutoff_0,permu_bary_cutoff_0,bary_sift_cutoff_1,sift_bary_cutoff_1,permu_sift_cutoff_1,permu_bary_cutoff_1,bary_sift_cutoff_2,sift_bary_cutoff_2,permu_sift_cutoff_2,permu_bary_cutoff_2,bary_sift_cutoff_3,sift_bary_cutoff_3,permu_sift_cutoff_3,permu_bary_cutoff_3,bary_sift_cutoff_4,sift_bary_cutoff_4,permu_sift_cutoff_4,permu_bary_cutoff_4,bary_sift_cutoff_5,sift_bary_cutoff_5,permu_sift_cutoff_5,permu_bary_cutoff_5,bary_sift_cutoff_6,sift_bary_cutoff_6,permu_sift_cutoff_6,permu_bary_cutoff_6,bary_sift_cutoff_7,sift_bary_cutoff_7,permu_sift_cutoff_7,permu_bary_cutoff_7,bary_sift_cutoff_8,sift_bary_cutoff_8,permu_sift_cutoff_8,permu_bary_cutoff_8,bary_sift_cutoff_9,sift_bary_cutoff_9,permu_sift_cutoff_9,permu_bary_cutoff_9,crossings_orig
0,51,58,51,58,56,62,56,62,66,53,66,62,64,52,68,60,65,52,62,58,55,58,60,54,53,60,55,59,52,51,52,52,58,51,52,52,58,51,51,51,118
1,59,59,59,59,59,57,59,57,56,59,63,60,58,65,55,65,59,62,60,62,60,61,60,61,59,59,58,59,59,60,58,59,59,60,58,58,59,59,58,58,132
2,59,73,59,73,59,56,63,62,64,58,65,74,63,55,63,61,61,57,53,59,65,57,51,59,68,63,55,55,67,57,53,53,71,57,54,54,73,59,53,53,129
3,53,57,53,57,56,70,53,53,54,61,54,51,52,57,53,51,59,54,52,54,51,52,53,52,53,56,55,56,56,56,55,55,58,52,62,60,57,53,57,57,135
4,45,56,45,56,57,58,57,58,49,54,49,54,51,55,45,57,46,57,59,56,55,45,48,46,55,48,54,61,58,47,57,64,56,51,51,51,56,45,51,51,122
5,59,50,59,50,60,62,59,62,56,62,59,60,60,63,60,63,50,60,61,60,59,70,63,64,63,75,61,63,54,74,59,62,50,56,63,63,50,59,59,59,141
6,57,58,57,58,56,62,64,63,55,58,60,65,57,59,60,62,53,56,64,61,55,69,52,51,58,67,64,59,65,65,65,65,58,61,58,58,58,57,55,55,149
7,57,65,57,65,57,67,57,67,53,61,55,64,58,63,56,64,56,71,54,59,54,73,52,56,54,51,57,62,58,51,53,51,56,53,55,55,65,57,55,55,138
8,54,55,54,55,52,67,68,67,51,61,51,61,52,64,54,65,54,56,54,53,53,54,54,52,54,51,54,53,53,46,53,49,56,50,51,51,55,54,52,52,135
9,43,53,43,53,53,54,53,53,46,53,46,51,52,54,52,54,59,54,52,54,61,52,54,54,58,43,46,46,58,43,43,43,58,43,43,43,53,43,43,43,134
10,47,51,47,51,50,59,50,63,65,61,56,61,54,67,54,66,55,59,55,59,57,56,51,56,54,53,63,54,57,61,50,58,50,52,51,52,51,47,50,50,149
11,49,53,49,53,59,69,54,69,45,71,60,71,50,60,53,60,52,48,48,48,49,44,46,44,49,45,43,43,45,54,45,45,51,50,48,48,53,49,48,48,148
12,41,40,41,40,42,63,42,63,51,53,46,58,47,50,42,56,55,41,43,42,49,41,43,42,50,41,40,40,50,42,41,41,51,39,41,40,40,41,44,44,143
13,63,58,63,58,55,57,67,66,65,57,63,51,65,56,68,56,65,62,63,62,55,60,60,53,50,62,51,54,56,63,53,53,56,61,53,52,58,63,52,52,161
14,53,57,53,57,59,68,59,68,54,63,56,63,51,65,53,67,50,57,50,63,59,69,59,64,58,68,56,64,60,57,58,61,65,63,56,56,57,53,56,56,128
15,70,67,70,67,69,60,69,66,63,66,71,67,62,65,71,65,70,67,69,65,67,69,66,63,69,69,66,67,69,64,65,65,67,73,68,67,67,70,66,66,137
16,58,57,58,57,63,57,63,72,57,60,68,67,60,63,60,58,58,66,58,59,59,59,66,66,59,56,59,57,58,64,56,56,58,65,56,56,57,58,56,56,105
17,50,51,50,51,52,55,52,55,56,54,58,56,54,55,56,58,51,52,50,50,61,60,54,54,51,52,51,51,51,56,56,55,51,62,57,57,51,50,50,50,155
18,50,52,50,52,50,54,50,54,53,58,53,51,53,56,53,53,65,50,54,54,63,50,51,51,58,50,54,51,52,52,51,51,54,50,51,51,52,50,51,51,132
19,66,54,66,54,56,71,61,57,64,63,51,53,51,61,51,52,54,64,56,50,63,58,51,51,62,60,57,59,58,63,51,51,52,66,49,50,54,66,58,58,151
