sample_id,bary_sift_cutoff_0,sift_bary_cutoff_0,permu_sift_cutoff_0,permu_bary_cutoff_0,bary_permu_cutoff_0,sifting_permu_cutoff_0,bary_sift_cutoff_1,sift_bary_cutoff_1,permu_sift_cutoff_1,permu_bary_cutoff_1,bary_permu_cutoff_1,sifting_permu_cutoff_1,bary_sift_cutoff_2,sift_bary_cutoff_2,permu_sift_cutoff_2,permu_bary_cutoff_2,bary_permu_cutoff_2,sifting_permu_cutoff_2,bary_sift_cutoff_3,sift_bary_cutoff_3,permu_sift_cutoff_3,permu_bary_cutoff_3,bary_permu_cutoff_3,sifting_permu_cutoff_3,bary_sift_cutoff_4,sift_bary_cutoff_4,permu_sift_cutoff_4,permu_bary_cutoff_4,bary_permu_cutoff_4,sifting_permu_cutoff_4,bary_sift_cutoff_5,sift_bary_cutoff_5,permu_sift_cutoff_5,permu_bary_cutoff_5,bary_permu_cutoff_5,sifting_permu_cutoff_5,bary_sift_cutoff_6,sift_bary_cutoff_6,permu_sift_cutoff_6,permu_bary_cutoff_6,bary_permu_cutoff_6,sifting_permu_cutoff_6,bary_sift_cutoff_7,sift_bary_cutoff_7,permu_sift_cutoff_7,permu_bary_cutoff_7,bary_permu_cutoff_7,sifting_permu_cutoff_7,bary_sift_cutoff_8,sift_bary_cutoff_8,permu_sift_cutoff_8,permu_bary_cutoff_8,bary_permu_cutoff_8,sifting_permu_cutoff_8,bary_sift_cutoff_9,sift_bary_cutoff_9,permu_sift_cutoff_9,permu_bary_cutoff_9,bary_permu_cutoff_9,sifting_permu_cutoff_9,crossings_orig
0,156,185,156,185,179,179,189,209,194,208,190,183,196,191,188,189,194,185,172,179,184,182,177,170,165,181,196,203,172,168,175,201,191,189,176,200,188,176,195,187,190,170,207,172,174,174,208,170,176,168,182,182,175,168,185,156,179,179,185,156,406
1,167,173,167,173,158,158,184,186,185,186,155,155,184,183,192,175,179,164,181,168,174,170,182,165,180,174,185,167,165,166,182,174,177,182,177,156,192,164,157,158,174,164,192,163,156,156,172,165,191,164,157,157,191,164,173,167,158,158,173,167,418
2,163,190,163,190,169,169,176,236,186,234,171,170,221,214,165,213,194,186,200,207,160,182,198,190,181,208,176,193,204,203,186,196,163,164,192,202,186,194,182,175,186,203,230,199,188,183,227,179,184,198,171,172,185,197,190,163,169,169,190,163,385
3,160,186,160,186,163,163,174,186,177,186,172,176,160,191,168,172,203,177,186,196,169,174,188,194,186,178,161,173,191,180,191,193,171,173,183,184,178,169,174,165,180,171,185,179,163,166,192,180,184,161,165,165,185,160,186,160,163,163,186,160,466
4,152,169,152,169,182,182,182,154,174,152,182,182,163,198,185,192,167,199,164,193,181,188,167,185,164,198,149,182,166,182,172,157,163,178,168,154,166,172,166,165,164,164,217,186,183,185,214,182,180,156,174,175,180,156,169,152,182,182,169,152,441
5,150,176,150,176,165,165,162,183,168,183,174,175,149,187,155,209,196,174,161,190,178,191,178,172,161,217,155,192,155,168,173,194,159,186,159,173,157,157,166,162,154,199,157,159,156,155,156,147,176,184,158,156,159,184,176,150,165,165,176,150,358
6,158,204,158,204,166,166,191,215,193,215,192,170,189,217,206,217,184,174,185,181,176,174,204,187,213,217,159,168,211,210,205,192,165,176,194,176,178,190,162,165,182,165,199,178,155,162,197,174,194,187,154,157,189,180,204,158,166,166,204,158,420
7,153,190,153,190,160,160,173,194,173,194,158,158,186,193,162,191,151,164,181,198,172,193,164,166,166,188,160,187,151,161,178,171,145,170,175,145,200,173,159,169,198,154,169,173,174,170,169,163,180,173,158,165,180,172,190,153,160,160,190,153,408
8,156,173,156,173,172,172,167,173,171,194,183,173,166,173,169,190,179,161,168,176,168,160,181,173,190,173,186,174,195,181,188,197,207,198,196,178,210,197,185,181,210,201,179,163,156,160,184,160,186,155,182,183,186,155,173,156,172,172,173,156,417
9,163,183,163,183,152,152,185,190,185,190,177,155,200,187,162,187,172,159,176,189,159,187,170,164,194,190,178,190,180,165,185,172,166,168,179,158,185,155,175,163,175,155,183,161,177,166,177,157,179,161,148,147,179,161,183,163,152,152,183,163,420
